Well Nr. source plate,Well Nr. destination plate,Part,Volumen
A1,A1,Mastermix1,6.0
B1,B1,Mastermix2,6.0
C1,C1,Mastermix3,6.0
D1,D1,Mastermix4,6.0
E1,E1,Mastermix5,6.0
F1,F1,Mastermix6,6.0
G1,G1,Mastermix7,6.0
H1,H1,Mastermix8,6.0
A1,A2,Mastermix1,6.0
B1,B2,Mastermix2,6.0
C1,C2,Mastermix3,6.0
D1,D2,Mastermix4,6.0
E1,E2,Mastermix5,6.0
F1,F2,Mastermix6,6.0
G1,G2,Mastermix7,6.0
H1,H2,Mastermix8,6.0
A1,A3,Mastermix1,6.0
B1,B3,Mastermix2,6.0
C1,C3,Mastermix3,6.0
D1,D3,Mastermix4,6.0
E1,E3,Mastermix5,6.0
F1,F3,Mastermix6,6.0
G1,G3,Mastermix7,6.0
H1,H3,Mastermix8,6.0
A1,A4,Mastermix1,6.0
B1,B4,Mastermix2,6.0
C1,C4,Mastermix3,6.0
D1,D4,Mastermix4,6.0
E1,E4,Mastermix5,6.0
F1,F4,Mastermix6,6.0
G1,G4,Mastermix7,6.0
H1,H4,Mastermix8,6.0
A1,A5,Mastermix1,6.0
B1,B5,Mastermix2,6.0
C1,C5,Mastermix3,6.0
D1,D5,Mastermix4,6.0
E1,E5,Mastermix5,6.0
F1,F5,Mastermix6,6.0
G1,G5,Mastermix7,6.0
H1,H5,Mastermix8,6.0
A1,A6,Mastermix1,6.0
B1,B6,Mastermix2,6.0
